Yiyecek ismi,Kategori,Ortalama Gramaj (g),Kalori (kcal),Protein (g),Yað (g),Karbonhidrat (g)
Semizotu (1 kase, çið),Sebze,40,4,0.4,0.1,0.7
Taze Bakla (1/2 kase, kabuklu haþ.),Sebze,70,60,4.8,0.3,10.0
Rezene (Orta boy 1/2 yumru),Sebze,45,16,0.7,0.1,3.7
Lahana (Beyaz, 1 kase doðranmýþ),Sebze,70,18,0.9,0.1,4.2
Pazý (1 kase, çið doðranmýþ),Sebze,35,7,0.6,0.1,1.4
Karnabahar (1 kase, çið doðranmýþ),Sebze,100,25,1.9,0.3,5.0
Arpacýk Soðaný (Küçük boy 5 adet),Sebze,40,29,0.8,0.0,6.8
Mürdümük (1/2 kase, haþlanmýþ),Sebze,90,63,4.4,0.3,10.6
Tatlý Mýsýr Koçaný (1 orta boy, haþlanmýþ),Sebze,130,123,4.5,1.9,26.0
Acý Biber (Orta boy 1 adet),Sebze,150,25,1.0,0.2,5.5
Rendelenmiþ Havuç (1/2 kase),Sebze,60,25,0.6,0.1,5.8
Mini Domates (5 adet),Sebze,75,14,0.7,0.1,3.0
Taze Sarýmsak (1 sap),Sebze,10,10,0.5,0.0,2.3
Ispanak (Piþmiþ, 1/2 kase, haþlanmýþ),Sebze,90,21,2.7,0.3,3.6
Yumurta (1 adet, haþlanmýþ),Kahvaltýlýk,50,75,6.5,5.0,0.5
Zeytin (1 adet, siyah),Kahvaltýlýk,4,10,0.04,1.0,0.5
Zeytin (1 adet, yeþil),Kahvaltýlýk,4,6,0.04,0.6,0.4
Simit (1 adet),Kahvaltýlýk,120,320,10.0,10.0,48.0
Beyaz Ekmek (1 dilim),Kahvaltýlýk,25,65,2.0,0.3,13.0
Tam Buðday Ekmeði (1 dilim),Kahvaltýlýk,30,70,3.0,0.5,13.5
Sucuk (1 ince dilim, piþmiþ),Kahvaltýlýk,10,35,2.0,2.7,0.05
Salam (1 ince dilim),Kahvaltýlýk,7.5,22,1.0,2.0,0.25
Domates (1 adet, orta boy),Kahvaltýlýk,125,22,1.1,0.2,4.8
Salatalýk (1 adet, orta boy),Kahvaltýlýk,280,45,2.0,0.3,10.9
Beyaz Peynir (1 dilim, kibrit kutusu),Kahvaltýlýk,30,75,4.5,6.0,0.5
Kaþar Peyniri (1 ince dilim),Kahvaltýlýk,20,70,5.0,5.5,0.2
Haþlanmýþ Yumurta Beyazý (1 adet),Kahvaltýlýk,30,15,3.5,0.0,0.3
Sosis (1 adet, piþmiþ, orta boy),Kahvaltýlýk,40,120,6.0,10.0,1.0
Sigara Böreði (1 adet, kýzarmýþ),Kahvaltýlýk,25,90,3.0,7.0,5.0
Poðaça (1 adet, sade),Kahvaltýlýk,80,250,5.0,15.0,24.0
Peynirli Tost (1/2 adet),Kahvaltýlýk,60,150,7.0,8.0,12.0
Çeri Domates (1 adet),Kahvaltýlýk,15,3,0.1,0.0,0.6
Bal (1 yemek kaþýðý),Kahvaltýlýk,20,65,0.1,0.0,17.5
Reçel (1 yemek kaþýðý),Kahvaltýlýk,20,55,0.0,0.0,14.5
Tereyaðý (1 tatlý kaþýðý),Kahvaltýlýk,10,70,0.1,8.0,0.0
Lor Peyniri (1 yemek kaþýðý),Kahvaltýlýk,20,20,2.2,1.0,0.7
Labne Peyniri (1 yemek kaþýðý),Kahvaltýlýk,15,40,1.0,3.5,0.5
Süt (1 su bardaðý),Kahvaltýlýk,200,100,6.5,3.5,9.5
Zeytinyaðý (1 tatlý kaþýðý),Kahvaltýlýk,5,45,0.0,5.0,0.0
Pekmez (1 yemek kaþýðý),Kahvaltýlýk,20,60,0.1,0.0,15.5
Krem Peynir (1 tatlý kaþýðý),Kahvaltýlýk,10,35,0.7,3.3,0.5
Zahter/Kekikli Yað (1 tatlý kaþýðý),Kahvaltýlýk,5,45,0.5,4.0,1.0
Süzme Peynir (1 yemek kaþýðý),Kahvaltýlýk,25,60,4.0,4.5,0.8
Ceviz (1 tam tane),Kahvaltýlýk,5,33,0.7,3.3,0.7
Ekmek Üstü Avokado Dilimi (1 ince dilim),Kahvaltýlýk,20,32,0.4,3.0,1.7
Pastýrma (1 ince dilim, piþmiþ),Kahvaltýlýk,10,35,3.0,2.5,0.1
Menemen (1 porsiyon/küçük kase),Kahvaltýlýk,100,110,6.0,8.0,3.0
Muz (1 adet, orta boy),Kahvaltýlýk,120,105,1.3,0.4,27.0
Kuru Kayýsý (2 adet),Kahvaltýlýk,15,36,0.5,0.0,9.0
Krem Çikolata (1 tatlý kaþýðý),Kahvaltýlýk,10,54,0.7,3.5,5.0
Dil Peyniri (1 parça/çubuk),Kahvaltýlýk,20,60,5.5,4.0,0.3
Köy Peyniri (1 dilim),Kahvaltýlýk,30,70,6.0,5.0,0.5
Yulaf Ezmesi (1 yemek kaþýðý, kuru),Kahvaltýlýk,10,38,1.3,0.7,6.7
Ayva/Nar Reçeli (1 yemek kaþýðý),Kahvaltýlýk,20,55,0.0,0.0,14.5
Haþlanmýþ Yumurta Sarýsý (1 adet),Kahvaltýlýk,20,55,2.7,4.5,0.1
Hellim Peyniri (1 ince dilim, ýzgara),Kahvaltýlýk,25,85,6.5,6.0,0.5
Kaþýk Helvasý (1 yemek kaþýðý),Kahvaltýlýk,25,120,3.0,7.0,11.0
Tulum Peyniri (1 yemek kaþýðý, ufalanmýþ),Kahvaltýlýk,20,60,5.0,4.5,0.5
Yumurta Kapama (1 adet),Kahvaltýlýk,60,95,7.0,6.5,0.5
Pankek/Krep (1 adet, küçük),Kahvaltýlýk,40,80,2.0,3.0,11.0
Tam Yaðlý Yoðurt (1 kase, 1/2 kase),Kahvaltýlýk,100,60,3.5,3.5,4.5
Fýndýk Ezmesi (1 tatlý kaþýðý),Kahvaltýlýk,10,60,1.5,5.0,2.5
Çilek (1 adet, orta boy),Kahvaltýlýk,12,4,0.1,0.0,0.9
Bal Kabaðý Reçeli (1 yemek kaþýðý),Kahvaltýlýk,20,50,0.0,0.0,13.0
Sucuklu Yumurta (1 porsiyon: 1 yumurta + 2 dilim sucuk),Kahvaltýlýk,90,140,9.0,11.0,1.0
Piþi/Hamur Kýzartmasý (1 adet, orta boy),Kahvaltýlýk,40,130,3.0,8.0,12.0
Ezine Peyniri (1 dilim, orta),Kahvaltýlýk,30,85,6.0,6.5,0.5
Çikolatalý Pankek (1 adet, küçük),Kahvaltýlýk,40,110,2.0,5.0,13.0
Tahýl Gevreði (1 porsiyon/1/2 kase),Kahvaltýlýk,30,115,3.0,1.0,24.0
Susamlý Kraker (2 adet),Kahvaltýlýk,15,70,1.5,4.0,6.5
Zeytin Yaðlý Zahter (1 tatlý kaþýðý),Kahvaltýlýk,5,45,0.5,4.0,1.0
Çökelek Peyniri (1 yemek kaþýðý),Kahvaltýlýk,20,30,4.0,1.0,1.5
Gözleme (1/4 adet, sade),Kahvaltýlýk,60,140,5.0,6.0,17.0
Ananas Reçeli (1 yemek kaþýðý),Kahvaltýlýk,20,50,0.0,0.0,13.0
Simit (1 adet),Hamur Ýþi,120,320,10.0,10.0,48.0
Beyaz Ekmek (1 dilim),Hamur Ýþi,25,65,2.0,0.3,13.0
Tam Buðday Ekmeði (1 dilim),Hamur Ýþi,30,70,3.0,0.5,13.5
Sigara Böreði (1 adet, kýzarmýþ),Hamur Ýþi,25,90,3.0,7.0,5.0
Poðaça (1 adet, sade),Hamur Ýþi,80,250,5.0,15.0,24.0
Peynirli Tost (1/2 adet),Hamur Ýþi,60,150,7.0,8.0,12.0
Pankek/Krep (1 adet, küçük),Hamur Ýþi,40,80,2.0,3.0,11.0
Piþi/Hamur Kýzartmasý (1 adet, orta boy),Hamur Ýþi,40,130,3.0,8.0,12.0
Çikolatalý Pankek (1 adet, küçük),Hamur Ýþi,40,110,2.0,5.0,13.0
Gözleme (1/4 adet, sade),Hamur Ýþi,60,140,5.0,6.0,17.0
Açma (1 adet, sade),Hamur Ýþi,100,320,7.0,19.0,30.0
Su Böreði (1 dilim, fýrýnda),Hamur Ýþi,100,250,12.0,15.0,16.0
Bazlama (1/4 dilim),Hamur Ýþi,50,125,4.0,1.0,24.0
Muffin (1 adet, sade/küçük),Hamur Ýþi,50,180,3.0,9.0,22.0
Waffle (1 adet, sade/küçük),Hamur Ýþi,50,150,4.0,7.0,18.0
Yufka (1/4 adet, çið),Hamur Ýþi,50,75,2.0,0.2,16.0
Mýsýrlý Ekmek (1 dilim),Hamur Ýþi,30,75,2.5,1.0,14.0
Yumurtalý Ekmek (1 dilim, kýzarmýþ),Hamur Ýþi,40,120,5.0,7.0,8.0
Halka Tatlý (1 adet, þerbetli),Hamur Ýþi,60,210,1.5,10.0,28.0
Galeta (2 adet, sade),Hamur Ýþi,15,65,1.5,1.0,12.0
Peynirli Tepsi Böreði (1 dilim),Hamur Ýþi,100,280,11.0,18.0,18.0
Kepekli Ekmek (1 dilim),Hamur Ýþi,30,65,3.0,0.5,13.0
Lavaþ (1/4 adet),Hamur Ýþi,40,110,3.0,1.0,22.0
Milföy Hamuru (1 adet, piþmiþ),Hamur Ýþi,35,130,2.0,9.0,10.0
Katmer (1/4 adet, sade),Hamur Ýþi,50,180,3.0,14.0,12.0
Sade Kurabiye/Kavala (1 adet, küçük),Hamur Ýþi,15,75,1.0,4.5,7.5
Kýzarmýþ Ekmek (1 dilim),Hamur Ýþi,25,80,2.0,1.5,13.0
Ýçli Gözleme (1/4 adet, peynirli),Hamur Ýþi,75,190,8.0,10.0,18.0
Sütlü Ekmek (1 dilim),Hamur Ýþi,30,85,3.0,2.0,14.0
Tuzlu Çubuk Kraker (5 adet),Hamur Ýþi,15,65,1.5,3.0,8.0
Pizza Dilimi (1/8 ince dilim, sade/küçük),Hamur Ýþi,75,180,8.0,8.0,20.0
Açýk Sandviç Ekmekçik (1 adet, küçük),Hamur Ýþi,30,80,3.0,1.5,15.0
Simit Sandviç (1/2 adet, peynirli),Hamur Ýþi,100,300,10.0,15.0,28.0
Yaðlý Ekmek/Yaðlý Piþi (1 adet, küçük),Hamur Ýþi,30,110,2.5,7.0,9.0
Kuru Pasta (1 adet, küçük),Hamur Ýþi,20,85,1.0,5.0,8.5
Peynirli Mini Börek (1 adet, küçük),Hamur Ýþi,30,100,3.5,6.0,8.0
Ekmek Kadayýfý (1 küçük dilim, þerbetli),Hamur Ýþi,50,160,2.0,2.0,33.0
Çavdar Ekmeði (1 dilim),Hamur Ýþi,35,75,3.5,0.8,14.0
Tuzlu Lokma (2 adet),Hamur Ýþi,30,110,2.0,7.0,10.0
Pita Ekmeði (1/2 adet),Hamur Ýþi,35,90,3.0,1.0,18.0
Susamlý Kraker (2 adet),Hamur Ýþi,15,70,1.5,4.0,6.5
Ev Böreði (1 dilim, kýymalý),Hamur Ýþi,120,350,14.0,22.0,25.0
Ekmek Çeþitleri (Glutensiz, 1 dilim),Hamur Ýþi,30,80,2.0,2.0,14.0
Tuzlu Simit (1 adet, küçük),Hamur Ýþi,60,160,5.0,5.0,24.0
Misket Ekmek (1 adet, küçük),Hamur Ýþi,25,60,2.0,0.5,12.0
Tahinli Çörek (1/4 adet),Hamur Ýþi,50,200,4.0,12.0,19.0
Mayalý Ekmek (1 dilim),Hamur Ýþi,40,100,3.0,1.5,18.0
Kol Böreði (1 ince dilim, peynirli),Hamur Ýþi,80,220,8.0,12.0,18.0
Çið Börek (1 adet, kýzarmýþ),Hamur Ýþi,60,200,8.0,12.0,16.0
Sandviç Ekmeði (1/2 adet, küçük),Hamur Ýþi,30,75,2.5,1.0,14.0
Mercimek Çorbasý (Kýrmýzý),Çorba,250,140,8.0,4.0,18.0
Ezogelin Çorbasý,Çorba,250,150,7.0,5.0,20.0
Tavuk Suyu Çorbasý,Çorba,250,90,7.0,5.0,4.0
Domates Çorbasý (Sütlü/Kremalý),Çorba,250,130,5.0,6.0,14.0
Yayla Çorbasý (Nohutlu/Pirinçli),Çorba,250,160,8.0,7.0,16.0
Tarhana Çorbasý,Çorba,250,110,6.0,4.0,14.0
Þehriye Çorbasý,Çorba,250,100,4.0,3.0,15.0
Brokoli Çorbasý (Kremalý),Çorba,250,180,6.0,12.0,10.0
Mantar Çorbasý (Kremalý),Çorba,250,170,5.0,11.0,12.0
Düðün Çorbasý (Terbiyeli),Çorba,250,140,10.0,7.0,8.0
Ýþkembe Çorbasý,Çorba,250,160,15.0,10.0,2.0
Kelle Paça Çorbasý,Çorba,250,220,20.0,15.0,2.0
Kabak Çorbasý (Hafif),Çorba,250,80,3.0,3.0,11.0
Balýk Çorbasý,Çorba,250,120,10.0,5.0,8.0
Sebze Çorbasý (Hafif),Çorba,250,70,3.0,2.0,10.0
Arpacýk Þehriye Çorbasý (Domatesli),Çorba,250,110,4.0,3.0,17.0
Tutmaç Çorbasý (Hamurlu, Yoðurtlu),Çorba,250,180,9.0,8.0,18.0
Eriþte Çorbasý (Salçalý),Çorba,250,150,6.0,5.0,20.0
Pirinç Çorbasý (Sade),Çorba,250,100,3.0,2.0,18.0
Pazý Çorbasý (Yoðurtlu),Çorba,250,130,7.0,6.0,12.0
Sütlü Mýsýr Çorbasý (Kremsiz),Çorba,250,140,6.0,5.0,18.0
Acýlý Ekþili Çorba (Çin Tarzý),Çorba,250,120,7.0,4.0,14.0
Soðuk Domates Çorbasý (Gaspacho),Çorba,250,80,2.0,3.0,12.0
Yeþil Mercimek Çorbasý (Etsiz),Çorba,250,150,10.0,4.0,20.0
Bulgurlu Yoðurt Çorbasý (Ayran Aþý),Çorba,250,160,9.0,7.0,16.0
Sütlaç (1 kase, fýrýnlanmamýþ),Tatlý,180,240,6.0,7.0,38.0
Kazandibi (1 porsiyon/dilim),Tatlý,150,220,5.0,7.0,35.0
Tavuk Göðsü (1 porsiyon/dilim),Tatlý,150,210,5.0,6.0,33.0
Profiterol (1 porsiyon/küçük kase),Tatlý,120,280,5.0,15.0,30.0
Güllaç (1 dilim, cevizli),Tatlý,150,250,5.0,8.0,40.0
Muhallebi (1 kase),Tatlý,150,180,4.0,5.0,30.0
Aþure (1 kase, orta),Tatlý,180,300,8.0,10.0,45.0
Keþkül (1 kase),Tatlý,150,230,6.0,8.0,35.0
Trileçe (1 dilim, orta),Tatlý,120,290,6.0,15.0,32.0
Baklava (1 dilim, orta),Tatlý,40,150,2.0,8.0,18.0
Künefe (1 porsiyon/1/4 adet),Tatlý,100,320,8.0,20.0,28.0
Þekerpare (1 adet, orta),Tatlý,50,130,2.0,5.0,20.0
Revani (1 dilim, orta),Tatlý,80,240,4.0,10.0,34.0
Kemalpaþa Tatlýsý (1 adet),Tatlý,30,70,1.0,0.5,16.0
Cevizli Kadayýf (1 adet/yuvarlak porsiyon),Tatlý,70,280,4.0,15.0,32.0
Tulumba Tatlýsý (1 adet, orta),Tatlý,30,100,1.0,6.0,10.0
Halka Tatlýsý (1 adet, orta),Tatlý,60,200,1.5,10.0,20.0
Ekmek Kadayýfý (1 dilim, kaymaklý),Tatlý,150,380,5.0,15.0,55.0
Kabak Tatlýsý (1 dilim, tahinli-cevizli),Tatlý,150,200,3.0,8.0,30.0
Ýrmik Helvasý (3 yemek kaþýðý/porsiyon),Tatlý,80,180,3.0,9.0,22.0
Fýstýklý Sarma (1 adet/yarým dilim),Tatlý,50,210,3.0,15.0,18.0
Dilber Dudaðý (1 adet, orta),Tatlý,40,140,2.0,8.0,15.0
Soðuk Baklava (1 dilim),Tatlý,70,220,4.0,15.0,18.0
Sütlaç (Fýrýnlanmýþ, 1 kase),Tatlý,180,260,7.0,8.0,39.0
Katmer (1/4 adet, fýstýklý),Tatlý,100,400,6.0,28.0,32.0
Tahin Helvasý (1 kibrit kutusu),Tatlý,40,180,5.0,10.0,18.0
Dondurmalý Ýrmik Helvasý (1 porsiyon),Tatlý,120,280,4.0,14.0,35.0
Cevizli Sucuk (3 dilim),Tatlý,40,140,2.0,5.0,23.0
Saray Sarmasý (1 dilim),Tatlý,80,200,4.0,7.0,30.0
Sufle (1 porsiyon, orta),Tatlý,100,320,6.0,18.0,34.0
Kadayýf Dolmasý (1 adet, kýzarmýþ),Tatlý,60,200,3.0,12.0,20.0
Ýncir Tatlýsý (1 adet, cevizli),Tatlý,80,190,2.0,8.0,28.0
Bülbül Yuvasý (1 adet),Tatlý,40,160,2.0,10.0,16.0
Aðlayan Pasta (1 dilim, orta),Tatlý,100,280,5.0,14.0,30.0
Puding (Çikolatalý, 1 kase),Tatlý,150,190,4.0,5.0,32.0
Mousse (Çikolatalý, 1 kase),Tatlý,100,240,5.0,18.0,18.0
Cezerye (1 dilim, orta),Tatlý,30,120,1.0,5.0,18.0
Lokum (2 adet, sade),Tatlý,20,80,0.1,0.5,19.0
Prenses Tatlýsý (1 dilim),Tatlý,120,260,5.0,10.0,35.0
Peynir Tatlýsý (Höþmerim, 1 porsiyon),Tatlý,100,240,8.0,12.0,22.0
Elmalý Turta/Pay (1 dilim, küçük),Tatlý,100,280,3.0,14.0,35.0
Magnolia (1 kase, küçük),Tatlý,150,320,7.0,15.0,38.0
Fýstýklý Tel Kadayýf (1 adet, yuvarlak),Tatlý,70,250,3.0,14.0,28.0
Meyveli Yoðurt (1 kase, sade),Tatlý,150,120,5.0,3.0,18.0
Dondurma (1 top, sade),Tatlý,50,100,3.0,5.0,12.0
Mozaik Pasta (1 ince dilim),Tatlý,70,250,4.0,18.0,20.0
Damla Sakýzlý Sütlaç (1 kase),Tatlý,180,245,6.0,7.0,38.0
Viþne Tatlýsý (1 porsiyon, komposto),Tatlý,150,140,1.0,0.5,33.0
Waffle (1 adet, sade, toppingsiz),Tatlý,150,350,8.0,15.0,45.0
Kaymaklý Kabak Tatlýsý (1 dilim),Tatlý,150,250,4.0,12.0,30.0
Supangle (1 kase),Tatlý,150,220,6.0,8.0,32.0
Bisküvili Pasta (1 ince dilim),Tatlý,80,240,4.0,12.0,25.0
Trileçe (Karamelli, 1 dilim),Tatlý,120,310,6.0,16.0,34.0
Cheesecake (1/8 dilim, sade),Tatlý,120,350,7.0,25.0,25.0
Þambali (1 dilim, orta),Tatlý,80,220,3.0,8.0,34.0
Susamlý Krokan (1 adet, küçük),Tatlý,20,100,2.0,6.0,10.0
Fýstýk Ezmeli Kurabiye (1 adet, küçük),Tatlý,25,120,4.0,8.0,8.0
Çikolatalý Kek (1 ince dilim),Tatlý,60,200,3.0,10.0,25.0
Sünger Tatlýsý (1 dilim),Tatlý,100,230,4.0,9.0,32.0
Sakýzlý Muhallebi (1 kase),Tatlý,150,185,4.0,5.0,31.0
Sütlaç (Sakýzlý, fýrýnlanmýþ, 1 kase),Tatlý,180,265,7.0,8.0,40.0
Fransýz Tostu (Tatlý, 1 dilim),Tatlý,70,180,5.0,9.0,20.0
Þekerpare (Fýndýklý, 1 adet),Tatlý,50,140,2.0,6.0,20.0
Balkabaðý Cheesecake (1/8 dilim),Tatlý,120,330,6.0,22.0,28.0
Krem Karamel (1 porsiyon/kase),Tatlý,150,200,7.0,8.0,28.0
Panna Cotta (1 kase, meyveli),Tatlý,120,230,5.0,15.0,20.0
Un Helvasý (2 yemek kaþýðý/porsiyon),Tatlý,60,200,4.0,12.0,18.0
Piþmaniye (20g),Tatlý,20,80,1.0,2.0,15.0
Cevizli Bisküvi (1 adet, büyük),Tatlý,30,150,2.0,9.0,15.0
Frambuazlý Cheesecake (1/8 dilim),Tatlý,120,340,7.0,24.0,26.0
Damla Sakýzlý Muhallebi (1 kase),Tatlý,150,190,4.0,5.0,32.0
Cevizli Helva (1 kibrit kutusu),Tatlý,40,190,5.0,12.0,17.0
Ekler Pasta (1 adet, küçük),Tatlý,30,100,2.0,6.0,10.0
Limonlu Kek (1 ince dilim),Tatlý,60,190,3.0,9.0,25.0
Sütlü Nuriye (1 dilim),Tatlý,50,180,3.0,10.0,20.0
Ayva Tatlýsý (1 adet, kaymaklý),Tatlý,150,230,2.0,10.0,35.0
Etimek Tatlýsý (1 dilim),Tatlý,80,190,3.0,7.0,28.0
Muzlu Rulo Pasta (1 ince dilim),Tatlý,70,220,4.0,12.0,25.0
Kedi Dili Tatlýsý (1 dilim),Tatlý,100,210,5.0,7.0,32.0
Sarý Burma (1 adet/yarým dilim),Tatlý,50,200,3.0,13.0,18.0
Patates Cipsi (Küçük paket, 1/4 büyük paket),Atýþtýrmalýk,40,210,3.0,13.0,20.0
Mýsýr Cipsi (Küçük paket, acýlý),Atýþtýrmalýk,50,250,4.0,14.0,28.0
Kraker (Tuzlu, 1 paket, küçük),Atýþtýrmalýk,50,220,5.0,10.0,28.0
Fýstýk (Küçük paket, tuzlu),Atýþtýrmalýk,50,300,12.0,25.0,8.0
Çekirdek (Ay Çekirdeði, 1 avuç),Atýþtýrmalýk,25,140,5.5,12.0,5.0
Sütlü Çikolata (Tekli tablet/küçük paket),Atýþtýrmalýk,40,220,3.0,14.0,22.0
Gofret (Tekli paket, çikolatalý),Atýþtýrmalýk,35,180,2.5,10.0,20.0
Bisküvi (Kremalý, 2 adet),Atýþtýrmalýk,30,150,2.0,7.0,20.0
Þeker (Yumuþak, 5 adet),Atýþtýrmalýk,25,100,0.1,0.5,23.0
Marshmallow (3 adet, büyük),Atýþtýrmalýk,30,100,1.0,0.1,24.0
Enerji Barý (Müsli/Kuruyemiþli, 1 adet),Atýþtýrmalýk,40,180,5.0,9.0,20.0
Jelibon/Jel Þeker (Küçük paket),Atýþtýrmalýk,50,160,3.0,0.1,37.0
Lokum (3 adet, paketli),Atýþtýrmalýk,30,120,0.5,0.5,28.0
Kek (Paketli, sade/meyveli, 1 adet),Atýþtýrmalýk,50,200,3.0,10.0,25.0
Sandviç Bisküvi (Paketli, kremalý, 1 adet),Atýþtýrmalýk,40,190,3.0,9.0,25.0
Bitter Çikolata (Tekli tablet/küçük paket),Atýþtýrmalýk,40,230,4.0,16.0,19.0
Kremalý Bisküvi (Yuvarlak, 3 adet),Atýþtýrmalýk,35,170,2.0,8.0,24.0
Fýndýk Ezmeli Gofret (Tekli paket),Atýþtýrmalýk,45,230,4.0,15.0,22.0
Patlamýþ Mýsýr (Küçük paket, yaðlý),Atýþtýrmalýk,30,150,4.0,8.0,16.0
Pirinç Patlaðý (Çikolatalý, 1 adet),Atýþtýrmalýk,30,130,2.0,5.0,20.0
Sulu Kek (Islak kek, paketli, 1 adet),Atýþtýrmalýk,60,250,3.0,14.0,28.0
Leblebi (Tuzlu, 1 avuç),Atýþtýrmalýk,30,110,6.0,1.0,18.0
Gevrek (Kahvaltýlýk, 1/2 kase, kuru),Atýþtýrmalýk,30,120,3.0,1.5,25.0
Kuruyemiþ Karýþýmý (Küçük paket),Atýþtýrmalýk,40,240,7.0,18.0,12.0
Sakýz (Þekerli, 5 adet),Atýþtýrmalýk,10,35,0.0,0.0,9.0
Meyveli Bar (Paketli, kuru meyveli, 1 adet),Atýþtýrmalýk,35,120,2.0,4.0,20.0
Kroket (Patates/Peynirli, 3 adet, hazýr),Atýþtýrmalýk,50,150,5.0,8.0,15.0
Kurabiye (Paketli, yulaflý, 2 adet),Atýþtýrmalýk,40,190,3.0,10.0,22.0
Çikolatalý Kaplamalý Bisküvi (1 adet),Atýþtýrmalýk,25,130,1.5,7.0,14.0
Sosisli Poðaça (Paketli, küçük),Atýþtýrmalýk,60,230,6.0,15.0,18.0
Pretzel (Büyük, tuzlu, 1 adet),Atýþtýrmalýk,50,170,4.0,3.0,32.0
Ýnce Gofret (Rulo, çikolatalý, 4 adet),Atýþtýrmalýk,30,150,2.0,8.0,18.0
Pirinç Krakeri (Tuzlu/Tatlý, 4 adet),Atýþtýrmalýk,25,110,1.0,4.0,17.0
Draje Çikolata (Renkli, 1 paket, küçük),Atýþtýrmalýk,45,210,3.0,10.0,28.0
Badem Þekeri (5 adet),Atýþtýrmalýk,25,120,2.0,5.0,18.0
Tuzlu Bisküvi (Mini paket, 1/4 büyük paket),Atýþtýrmalýk,30,140,3.0,7.0,16.0
Çikolatalý Krema (Tekli paket, mini),Atýþtýrmalýk,15,75,1.0,5.0,7.0
Meyveli Yoðurt Barý (Paketli, 1 adet),Atýþtýrmalýk,30,120,4.0,5.0,18.0
Galeta Unlu Kraker (2 adet, büyük),Atýþtýrmalýk,20,90,2.0,4.0,12.0
Peynirli Kraker (Paketli, mini),Atýþtýrmalýk,25,120,3.0,7.0,11.0
Ýncir Barý (Paketli, 1 adet),Atýþtýrmalýk,40,130,2.0,3.0,25.0
Çubuk Kraker (Peynirli, 1 paket),Atýþtýrmalýk,40,180,4.0,8.0,22.0
Dondurulmuþ Yoðurt (Tekli kap, küçük),Atýþtýrmalýk,100,150,5.0,4.0,24.0
Fýndýklý Çikolata (Tekli tablet/küçük paket),Atýþtýrmalýk,40,240,4.0,16.0,20.0
Meyveli Sakýz (Kutu, 5 adet),Atýþtýrmalýk,10,40,0.0,0.0,10.0
Susamlý Kraker (1 paket, küçük),Atýþtýrmalýk,30,150,4.0,8.0,17.0
Sütlü Kahve (3'ü 1 arada, tekli paket),Atýþtýrmalýk,20,90,1.0,3.0,15.0
Enerji Ýçeceði (Küçük kutu, 250 ml),Atýþtýrmalýk,250,110,0.0,0.0,27.0
